timestamp,sim_time,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,yaw,target_yaw,yaw_rate,infrared_strength,infrared_dir_x,infrared_dir_y,is_avoiding,current_speed,vx_cmd,vy_cmd,vz_cmd,yaw_rate_cmd,altitude_error,control_mode
1764075155.6196642,641.672,23.61197280883789,-28.286128997802734,0.9086856245994568,0.21141767501880326,-0.13571977615388076,-0.02078525722031669,-0.39808216436738075,-1.1834803277648291,0.0,0.5462422618976478,-1.0,1.0,True,0.2512315484759345,0.22696478092726496,-0.07577566220189735,9.664681979632648e-07,-0.7778733510496832,0.09131437540054321,FORMATION_CONTROL
1764075156.1126428,641.772,23.632198333740234,-28.29816436767578,0.9068331122398376,0.15783309936504147,-0.0898241996764039,-0.012928619980796273,-0.4708109024933914,-1.2562090658908398,0.0,0.5462422618976478,-1.0,1.0,True,0.18160306743742388,0.22149441194154018,-0.09012578329255627,4.7356941700199966e-07,-0.7817110053470433,0.09316688776016235,FORMATION_CONTROL
1764075157.0073802,641.92,23.66160774230957,-28.31422996520996,0.9021583199501038,0.22274255752536254,-0.11920928955063556,-0.053226947784358776,-0.56026008782937,-1.3456582512268183,0.0,0.5462422618976478,-1.0,1.0,True,0.2526363031080583,0.21113145432251126,-0.11200015790546683,1.6243431003168586e-07,-0.7841334681861593,0.09784168004989624,FORMATION_CONTROL
1764075157.5246112,642.02,23.682477951049805,-28.325185775756836,0.8977277874946594,0.17156600952164042,-0.08964538574226903,-0.03436058759692456,-0.6355105033349533,-1.4209086667324016,0.0,0.433931468956187,-1.0,1.0,True,0.19357476800466486,0.20240370671130747,-0.12692156151980732,0.04149623914633975,-0.7847784627439166,0.10227221250534058,HEIGHT_CONTROL
1764075158.0213428,642.12,23.704362869262695,-28.3365535736084,0.8947591185569763,0.20831823348973563,-0.10848045349107836,-0.018218532204605724,-0.7113109051840293,-1.4967090685814777,0.0,0.433931468956187,-1.0,1.0,True,0.23487123109038713,0.19239130322464332,-0.14151477088013206,0.06317349398132806,-0.7850945100772178,0.10524088144302368,HEIGHT_CONTROL
1764075158.4745998,642.22,23.723861694335938,-28.34712028503418,0.8948927521705627,0.2004504203793937,-0.11122226715074297,0.012135133147224855,-0.7873157166951188,-1.572713880092567,0.0,0.433931468956187,-1.0,1.0,True,0.2292395335460856,0.18119326732229862,-0.15551399673796507,0.07390400764106071,-0.7852493732705352,0.10510724782943726,HEIGHT_CONTROL
1764075158.9801,642.32,23.74756622314453,-28.35895538330078,0.8976793885231018,0.24312734603852124,-0.11569261550889182,0.032683834433515656,-0.8632378863983394,-1.6486360497957877,0.0,0.433931468956187,-1.0,1.0,True,0.26925023245119606,0.16891996134517517,-0.1687181472488227,0.07813548152060901,-0.7853252562352608,0.1023206114768982,HEIGHT_CONTROL
1764075159.7057114,642.472,23.78522491455078,-28.37933921813965,0.9066452980041504,0.2131462097165364,-0.1260042190550218,0.06074644625179496,-1.0001843450350387,-0.21478618163759042,0.0,0.44422431350305097,-1.0,-1.0,True,0.24760527041279154,0.14783248629765802,-0.18730679152774632,0.026800470161568883,-0.31413425820234897,0.09335470199584961,FORMATION_CONTROL
1764075160.121822,642.572,23.804725646972656,-28.391700744628906,0.9117414951324463,0.19872188568161547,-0.13118982315094052,0.05049258470547046,-1.0735746245924214,-0.2881764611949731,0.0,0.44422431350305097,-1.0,-1.0,True,0.2381200486041276,0.13335450035296725,-0.19788718583478648,0.013132230379168752,0.24662727681354762,0.08825850486755371,FORMATION_CONTROL
1764075160.5739992,642.672,23.82687759399414,-28.404497146606445,0.9166726469993591,0.2326435512970165,-0.08540683322495801,0.035135282410569825,-1.1150525083927156,-0.32965434499526725,0.0,0.44422431350305097,-1.0,-1.0,True,0.2478252390730277,0.12054517617791136,-0.20619557343638822,0.006434792885792687,0.521400428971337,0.08332735300064087,FORMATION_CONTROL
1764075160.9615602,642.772,23.850492477416992,-28.414676666259766,0.9199504852294922,0.2399682998654294,-0.11116266250596767,0.03014318644996774,-1.112469753801774,-0.3270715904043257,0.0,0.44422431350305097,-1.0,-1.0,True,0.26446535212711764,0.11298232818913113,-0.2109212697842735,0.0031530485140384167,0.6560392735286538,0.08004951477050781,FORMATION_CONTROL
1764075161.5088336,642.92,23.88127899169922,-28.431289672851562,0.9221428036689758,0.21785497665378648,-0.1280903816221579,0.007797032594671257,-1.068462668492773,-0.28306450509532466,0.0,0.44422431350305097,-1.0,-1.0,True,0.25272106504391734,0.1130238699677038,-0.21141796978052957,0.0010814956403151768,0.7410280641724516,0.07785719633102417,FORMATION_CONTROL
1764075161.957773,643.02,23.900955200195312,-28.444223403930664,0.922433614730835,0.19824504852341124,-0.13828277587922852,0.002162531018262181,-1.0118166388868115,-0.22641847548936314,0.0,0.4780177927328999,-1.0,-1.0,True,0.2417089683253698,0.11976487531308178,-0.20769099164761037,0.0005299328637544366,0.7636568147771998,0.07756638526916504,FORMATION_CONTROL
1764075162.433465,643.12,23.923934936523438,-28.45775032043457,0.9209162592887878,0.23323297500581847,-0.12528896331771797,-0.025715678930251163,-0.9456255473961267,-0.1602273839986784,0.0,0.4780177927328999,-1.0,-1.0,True,0.26475449941274504,0.12975596995929184,-0.20141781296805955,0.00025966710323967386,0.7747449025735265,0.07908374071121216,FORMATION_CONTROL
